location,latitude,longitude,count,title
"Aliso Viejo, CA",33.5761376,-117.7258122,17.0,Cook
"Daytona Beach, FL",29.2108147,-81.0228331,15.0,Auto Body Techncian
"Aliso Viejo, CA",33.5761376,-117.7258122,17.0,Dishwasher
"Texas, United States",31.2638905,-98.5456116,90.0,Delivery Director (LLM Data Services)
"New York, United States",40.7127281,-74.0060152,167.0,Quantitative Trader [5048]
"Raleigh, NC",35.7803977,-78.6390989,125.0,Remote Vacation Planner
"Hartford, CT",41.764582,-72.6908547,47.0,Remote Vacation Planner
"Minden, NV",38.9542487,-119.765617,6.0,Continuous Manufacturing Expert - Pharmaceuticals (Small Molecule) [5302]
"Coeur d'Alene, ID",47.6742994,-116.7811531,6.0,Sales Manager
"Waukesha, WI",43.0622536,-88.3123889,9.0,Body Technician
"Denver, CO",39.7392364,-104.984862,247.0,Associate Veterinarian
"Nashville, TN",36.1622767,-86.7742984,175.0,Business Analyst Sr - Hybrid Nasville
"Orlando, FL",28.5421109,-81.3790304,171.0,Controls Engineer
"Oakland, CA",37.8044557,-122.271356,55.0,CDL Class B Driver
"Minden, NV",38.9542487,-119.765617,6.0,Senior Pharmaceutical Sales [5301]
"Portland, OR",45.5202471,-122.674194,122.0,"Additional Design, Strategy, Writing, Project Management, and More Roles"
"Florence, KY",38.9989499,-84.6266111,12.0,Lead Electrical Engineer [5326]
"Florence, KY",38.9989499,-84.6266111,12.0,Lead Systems Engineer [5321]
"Broomfield, CO",39.9403995,-105.05208,23.0,"Senior Manager, Indirect Procurement"
"Richmond, VA",37.5385087,-77.43428,116.0,Sales Manager
"Portland, OR",45.5202471,-122.674194,122.0,"Additional Design, Strategy, Writing, Project Management, and other Roles"
"Edison, NJ",40.518157,-74.4113926,20.0,Sales Executive - New Jersey
"Rapid City, SD",44.0806041,-103.228023,8.0,Sales Manager
Los Angeles Metropolitan Area,-11.9862556,-77.0096138,101.0,Speech-Language Pathology Assistant
"Santa Rosa, CA",38.4404925,-122.7141049,26.0,Associate Veterinarian
"Portland, OR",45.5202471,-122.674194,122.0,Writer
"Texas, United States",31.2638905,-98.5456116,90.0,"Director, Contributor Experience"
"Marietta, GA",33.9528472,-84.5496148,14.0,Estimator In Training
"San Jose, CA",37.3361663,-121.890591,158.0,Field Sales Manager [5276]
"Pittsburgh, PA",40.4416941,-79.9900861,115.0,Associate Veterinarian
Greater Sacramento,38.7041491,-121.3150029,6.0,Quality Control Technician [5303]
"Chico, CA",39.7284945,-121.8374777,7.0,Sales Manager
"Omaha, NE",41.2587459,-95.9383758,73.0,Lead Registered Behavior Technician Lead RBT [5162]
"Omaha, NE",41.2587459,-95.9383758,73.0,BCBA [5159]
"New Jersey, United States",40.0757384,-74.4041622,54.0,Structural Project Manager [5185]
"Philadelphia, PA",39.9527237,-75.1635262,209.0,Sales Manager
"New York, NY",40.7127281,-74.0060152,818.0,Sales Executive
"New York, NY",40.7127281,-74.0060152,818.0,"Sr Strategic Operations Manager, Global New Verticals - Consumer Operations"
"San Francisco, CA",37.7792588,-122.4193286,289.0,"Sr Strategic Operations Manager, Global New Verticals - Consumer Operations"
"Charlottesville, VA",38.029306,-78.4766781,27.0,Sales Manager
"New York, NY",40.7127281,-74.0060152,818.0,Sales Executive
"Bellevue, WA",47.6144219,-122.192337,63.0,Strategy & Operations Manager
"Milwaukee, WI",43.0386475,-87.9090751,90.0,Body Technician
"Syracuse, NY",43.0481221,-76.1474244,28.0,Associate Veterinarian
"Menlo Park, CA",37.4519671,-122.177992,15.0,Echo Sonographer
"Denton, TX",33.1838787,-97.1413417,17.0,Admissions Processing Supervisor
"Denton, TX",33.1838787,-97.1413417,17.0,Clinical Assistant/ Clinical Associate Professor: Strength and Conditioning & Biomechanics
"Minden, NV",38.9542487,-119.765617,6.0,Senior Regulatory Affairs Specialist - ANDA
"Minden, NV",38.9542487,-119.765617,6.0,Pharmaceutical Manufacturing Plant Manager
"Florence, KY",38.9989499,-84.6266111,12.0,Lead Mechanical Engineer[5325]
"Huntsville, AL",34.729847,-86.5859011,34.0,Radio Frequency Engineer [5333]
"New York, United States",40.7127281,-74.0060152,167.0,Senior Survey Manager [5186]
"York, PA",39.962493,-76.7276989,22.0,Sales Manager
"Salinas, CA",36.6744117,-121.655037,7.0,Sales Manager
"Cranberry Township, PA",40.7099343,-80.1060506,9.0,Assistant Manager
"San Jose, CA",37.3361663,-121.890591,158.0,Senior Test Engineer  [5274]
"Fort Worth, TX",32.753177,-97.3327459,112.0,Research Assistant III
"Fort Wayne, IN",41.0799898,-85.1386015,30.0,Registered Dietitian (50% remote)
"Dallas, TX",32.7762719,-96.7968559,383.0,Remote Vacation Planner
"Florence, KY",38.9989499,-84.6266111,12.0,Lead Controls Engineer [5327]
"Jackson, TN",35.6144446,-88.8177418,13.0,Sales Manager
"Hicksville, NY",40.7681926,-73.5238207,6.0,Construction Inspector [5243]
"Westlake Village, CA",34.1460234,-118.8061794,9.0,Medical Director
"Orange, CA",33.750631,-117.8722311,21.0,Imaging Supervisor
"Los Angeles, CA",34.0536909,-118.242766,366.0,Sales Manager
"Poughkeepsie, NY",41.7065539,-73.9283672,6.0,Sales Manager
"Milwaukee, WI",43.0386475,-87.9090751,90.0,Maintenance Technician - CWC
"Oakland, CA",37.8044557,-122.271356,55.0,CDL Class A Driver
"Winchester, VA",39.1852184,-78.1652404,12.0,Sales Manager
"Omaha, NE",41.2587459,-95.9383758,73.0,Mental Health Therapist [5161]
"Omaha, NE",41.2587459,-95.9383758,73.0,Independent Mental Health Practitioner  LIMHP [5160]
"Florence, KY",38.9989499,-84.6266111,12.0,Electrical Engineering Manager [5320]
"State College, PA",40.7944504,-77.8616386,11.0,Sales Manager
"Broomfield, CO",39.9403995,-105.05208,23.0,"Senior Category Activation Manager, Ingredients"
"Idaho Falls, ID",43.4887907,-112.03628,12.0,Sales Manager
"Broomfield, CO",39.9403995,-105.05208,23.0,"Manager, Producer Relations Manager (PRM) West"
"Roanoke, VA",37.270973,-79.9414313,17.0,Sales Manager
"Iowa City, IA",41.6612561,-91.5299106,8.0,Sales Manager
"Bowling Green, KY",36.9903199,-86.4436018,11.0,Sales Manager
"Kalamazoo, MI",42.291707,-85.5872286,9.0,Sales Manager
"Burlington, MA",42.5048167,-71.1956111,14.0,Software Quality Assurance Engineer [5291]
San Francisco Bay Area,37.7884969,-122.3558473,162.0,Railroad Worker In Charge
"Baltimore, MD",39.2908816,-76.610759,109.0,Sales Manager
"Fort Worth, TX",32.753177,-97.3327459,112.0,Assistant Director of Medical Student Success - TCOM Advisory Colleges
"New York, NY",40.7127281,-74.0060152,818.0,Remote Vacation Planner
"Minden, NV",38.9542487,-119.765617,6.0,Senior Regulatory Affairs Specialist - Inhaled Medications
"Kankakee, IL",41.1253903,-87.848682,7.0,Sales Manager
"Florence, KY",38.9989499,-84.6266111,12.0,Lead Project Engineer [5324]
"Pittsburgh, PA",40.4416941,-79.9900861,115.0,Sales Manager
"Williamsport, PA",41.2493292,-77.0027671,8.0,Sales Manager
"Boston, MA",42.3554334,-71.060511,324.0,Sales Manager
"New York, NY",40.7127281,-74.0060152,818.0,General Counsel
"Gainesville, FL",29.6519684,-82.3249846,52.0,Sales Manager
"Redding, CA",40.5863563,-122.391675,9.0,Sales Manager
"Concord, NH",43.207178,-71.537476,10.0,Sales Manager
"Chicago, IL",41.8755616,-87.6244212,534.0,Non-Fiction Writer
"Fayetteville, AR",36.0625843,-94.1574328,6.0,Sales Manager
"Augusta, ME",44.3169922,-69.7734278,7.0,Sales Manager
"Vancouver, WA",45.6306954,-122.6744557,41.0,Maintenance Supervisor
"Vancouver, WA",45.6306954,-122.6744557,41.0,Community Director - NE
"San Francisco, CA",37.7792588,-122.4193286,289.0,Fullstack Engineer
"Fountain Valley, CA",33.7038145,-117.9627349,11.0,Production Manager
"Knoxville, TN",35.9603948,-83.9210261,30.0,Sales Manager
"Conroe, TX",30.3118769,-95.4560512,7.0,Full-Time ER Veterinarian J183578
"Healdsburg, CA",38.583011,-122.8636039292566,6.0,Kitchen Assistant
"Torrance, CA",33.8371392,-118.3413606,45.0,Housekeeping EVS I - FT Days
"Memphis, TN",35.1460249,-90.0517638,57.0,Transaction Coordinator
"Orlando, FL",28.5421109,-81.3790304,171.0,Shift Manager
"Phoenix, AZ",33.4484367,-112.074141,279.0,Executive Assistant
"Menlo Park, CA",37.4519671,-122.177992,15.0,"Sr. Manager, Supply Chain Planning"
"Healdsburg, CA",38.583011,-122.8636039292566,6.0,Houskeeper
"Oklahoma City, OK",35.4729886,-97.5170536,78.0,"Chef Instructor, Savory (Sur La Table)"
"Napa, CA",38.2971367,-122.2855293,7.0,ASSISTANT COORDINATOR OF NURSING SERVICES
"Charlottesville, VA",38.029306,-78.4766781,27.0,Administrative Assistant III (4899)
"Pensacola, FL",30.421309,-87.2169149,18.0,ISD Analyst II-ID & Access Mgmt
"Cupertino, CA",37.3228934,-122.0322895,28.0,Assistant General Manager
"Fort Mill, SC",35.0073697,-80.9450759,15.0,(Remote) HR Business Partner
"Ithaca, NY",42.437417499999995,-76.54837235139263,5.0,Sales Manager
"Broomfield, CO",39.9403995,-105.05208,23.0,IT Data and Finance Manager 
"Fairview, OR",45.5377902,-122.4472125,6.0,Boy's 8th Grade Basketball Coach (Walt Morey MS)
"Gilbert, AZ",33.3527632,-111.789037,11.0,"Veterinarian, J180338"
"Portland, OR",45.5202471,-122.674194,122.0,Digital Strategist
"St George, UT",37.104153,-113.584131,8.0,Surgical Technologist
"Malvern, PA",40.036202,-75.5138959,20.0,"Revenue Specialist I, ROPS"
"Tempe, AZ",33.4255117,-111.940016,54.0,"Senior Director, Loss Mitigation"
"San Francisco, CA",37.7792588,-122.4193286,289.0,Head of Content
"San Francisco, CA",37.7792588,-122.4193286,289.0,Senior Camera Image Quality Engineer
"San Francisco, CA",37.7792588,-122.4193286,289.0,Ranch Hand
"Raleigh, NC",35.7803977,-78.6390989,125.0,Senior Technical Program Manager (Capital)
"San Jose, CA",37.3361663,-121.890591,158.0,Staff Scientist
"Boise, ID",43.6166163,-116.200886,51.0,Travel IR Tech - Interventional Radiology Ultrasound Tech - General - 680354
"Tempe, AZ",33.4255117,-111.940016,54.0,Online Inventory Acquisition Specialist
"Menlo Park, CA",37.4519671,-122.177992,15.0,"Senior Manager, SEC Reporting & Technical Accounting"
"Dothan, AL",31.2237285,-85.3934375,6.0,Retail Counter Sales
"Herndon, VA",38.9695316,-77.3859479,36.0,"Sales Manager-Herndon, VA"
Charlotte Metro,35.22329095,-80.84744438723916,20.0,Regional Account Manager
"Maywood, IL",41.8789942,-87.8436412,6.0,Loyola . Pharmacy Tech . Full Time
"Houston, TX",29.7589382,-95.3676974,444.0,Global Account Manager
"Detroit, MI",42.3315509,-83.0466403,69.0,Global Account Manager
"Herndon, VA",38.9695316,-77.3859479,36.0,Global Account Manager
"Encinitas, CA",33.0369867,-117.2919818,6.0,Sleep Expert - Sales
"Louisville, KY",38.2542376,-85.759407,87.0,Travel - PCU - Nurse Job - $2050/wk - $2279/wk
"Dallas, TX",32.7762719,-96.7968559,383.0,Client Services Specialist
"Sacramento, CA",38.5810606,-121.493895,109.0,Key Account Manager
"Hicksville, NY",40.7681926,-73.5238207,6.0,Resident Engineer [5118]
"Fairfield, CT",41.1412078,-73.2637258,5.0,"Per Diem (PRN) Behavioral Health LVN/LPN job in Fairfield, CT - Make $320/shift"
"Fairfield, CT",41.1412078,-73.2637258,5.0,"Per Diem (PRN) Behavioral Health LVN/LPN job in Fairfield, CT - Make $320/shift"
"St George, UT",37.104153,-113.584131,8.0,Medical Assistant Orthopedics and Sports Medicine
"Tallahassee, FL",30.4380832,-84.2809332,39.0,Registered Nurse
"Louisville, KY",38.2542376,-85.759407,87.0,Business Intelligence Analyst
"Torrance, CA",33.8371392,-118.3413606,45.0,Sterile Processing Tech - FT Evenings
"San Jose, CA",37.3361663,-121.890591,158.0,"Analytics Lead, Full Stack (Card & Consumer Banking)"
"Raleigh, NC",35.7803977,-78.6390989,125.0,IT Help Desk Technician
"South San Francisco, CA",37.6535403,-122.4168664,21.0,"Senior Principal Scientist, ADME/PK"
"Seattle, WA",47.6038321,-122.330062,257.0,Regional Account Manager
"Overland Park, KS",38.9742502,-94.6851702,45.0,"Sales Manager, Overland Park, KS"
"Washington, DC",38.8950368,-77.0365427,262.0,"Service Delivery Coordinator, Washington, DC"
"Boca Raton, FL",26.3586885,-80.0830984,34.0,"Sales Manager, Boca Raton, FL"
"Phoenix, AZ",33.4484367,-112.074141,279.0,Health & Safety Assistant
San Francisco Bay Area,37.7884969,-122.3558473,162.0,National Account Manager
"Overland Park, KS",38.9742502,-94.6851702,45.0,Help Desk Technician-Overland Park KS
San Francisco Bay Area,37.7884969,-122.3558473,162.0,Global Account Manager
"Washington, DC",38.8950368,-77.0365427,262.0,Carrier Access Project Manager – Cogent Communicat
"Herndon, VA",38.9695316,-77.3859479,36.0,"Customer Support Engineer –Herndon, VA"
"Orlando, FL",28.5421109,-81.3790304,171.0,"Field Technician, Orlando, FL"
"Mesa, AZ",33.4151005,-111.831455,40.0,Travel - PCU - Nurse Job - $2551/wk - $2740/wk
"Chicago, IL",41.8755616,-87.6244212,534.0,Cloud Solutions Engineer
"Jersey City, NJ",40.7215682,-74.047455,70.0,Front Desk Supervisor
"Pittsburgh, PA",40.4416941,-79.9900861,115.0,Epidemiology Research Associate - Healthcare Associated Infections (HAI)
"Las Vegas, NV",36.1672559,-115.148516,168.0,OB/GYN Physician
"Cedar Rapids, IA",41.9758872,-91.6704053,26.0,"Director, Global Process Owner"
"Orlando, FL",28.5421109,-81.3790304,171.0,Team Member
"El Segundo, CA",33.917028,-118.4156337,31.0,Corporate Communications Director (remote)
"Washington, DC",38.8950368,-77.0365427,262.0,"Service Delivery Coordinator, Washington, DC"
"Houston, TX",29.7589382,-95.3676974,444.0,"Sales Manager - Houston, TX"
Los Angeles Metropolitan Area,-11.9862556,-77.0096138,101.0,Regional Account Manager
"Miami, FL",25.7741728,-80.19362,231.0,Regional Account Manager
"Houston, TX",29.7589382,-95.3676974,444.0,Global Account Manager
"Santa Clara, CA",37.2333253,-121.6846349,77.0,Global Account Manager
"Washington, DC",38.8950368,-77.0365427,262.0,Cogent Project Engineering Manager
"Washington, DC",38.8950368,-77.0365427,262.0,"Contracts Specialist, Washington DC"
"Tempe, AZ",33.4255117,-111.940016,54.0,Employment Specialist EMPACT
"Houston, TX",29.7589382,-95.3676974,444.0,Personal Banker I
"Washington, DC",38.8950368,-77.0365427,262.0,Administrative Legal Assistant (Entry-Level)
"Seattle, WA",47.6038321,-122.330062,257.0,Bankruptcy Litigation Associate - Mid/Senior Level - Seattle
"Las Vegas, NV",36.1672559,-115.148516,168.0,OB/GYN Physician
"Los Angeles, CA",34.0536909,-118.242766,366.0,Junior Web Development Associate
"Lebanon, PA",40.375713,-76.4626118,10.0,Travel - Med Surg - Nurse Job - $2024/wk - $2211/wk
