original_listed_time_readable,industry,count
2023-07-10 09:06:40,Retail,1
2023-07-27 15:00:00,Hospitals and Health Care,1
2023-07-27 17:46:40,Hospitals and Health Care,11
2023-07-28 04:53:20,Hospitals and Health Care,2
2023-07-28 04:53:20,Retail,26
2023-07-28 16:00:00,Retail,1
2023-07-28 18:46:40,Financial Services,4
2023-07-28 18:46:40,Hospitals and Health Care,2
2023-07-28 18:46:40,Retail,4
2023-07-28 18:46:40,Software Development,2
2023-07-28 18:46:40,Staffing and Recruiting,1
2023-07-28 21:33:20,Financial Services,10
2023-07-28 21:33:20,Hospitals and Health Care,53
2023-07-28 21:33:20,IT Services and IT Consulting,14
2023-07-28 21:33:20,Retail,34
2023-07-28 21:33:20,Software Development,47
2023-07-28 21:33:20,Staffing and Recruiting,4
2023-07-29 00:20:00,Financial Services,1
2023-07-29 00:20:00,Retail,1
2023-07-29 00:20:00,Software Development,2
2023-07-29 19:46:40,Financial Services,2
2023-07-29 19:46:40,Hospitals and Health Care,4
2023-07-29 19:46:40,IT Services and IT Consulting,6
2023-07-29 19:46:40,Retail,3
2023-07-29 19:46:40,Software Development,3
2023-07-29 19:46:40,Staffing and Recruiting,6
2023-07-29 22:33:20,Financial Services,9
2023-07-29 22:33:20,Hospitals and Health Care,74
2023-07-29 22:33:20,IT Services and IT Consulting,6
2023-07-29 22:33:20,Software Development,35
2023-07-29 22:33:20,Staffing and Recruiting,2
2023-07-30 01:20:00,Hospitals and Health Care,4
2023-07-30 01:20:00,IT Services and IT Consulting,2
2023-07-30 01:20:00,Retail,1
2023-07-30 01:20:00,Staffing and Recruiting,2
2023-07-30 04:06:40,Financial Services,6
2023-07-30 04:06:40,Hospitals and Health Care,12
2023-07-30 04:06:40,IT Services and IT Consulting,20
2023-07-30 04:06:40,Retail,8
2023-07-30 04:06:40,Software Development,36
2023-07-30 04:06:40,Staffing and Recruiting,23
2023-07-30 23:33:20,Financial Services,1
2023-07-30 23:33:20,Software Development,2
2023-07-31 21:46:40,Hospitals and Health Care,4
2023-08-01 00:33:20,Software Development,20
2023-08-01 00:33:20,Staffing and Recruiting,2
2023-08-01 03:20:00,Financial Services,1
2023-08-01 03:20:00,Retail,2
2023-08-01 14:26:40,Hospitals and Health Care,2
2023-08-01 20:00:00,Hospitals and Health Care,1
2023-08-01 22:46:40,Financial Services,1
2023-08-01 22:46:40,Hospitals and Health Care,7
2023-08-01 22:46:40,IT Services and IT Consulting,2
2023-08-01 22:46:40,Retail,4
2023-08-01 22:46:40,Software Development,2
2023-08-02 04:20:00,Financial Services,1
2023-08-02 04:20:00,Software Development,2
2023-08-02 07:06:40,Retail,2
2023-08-02 09:53:20,Staffing and Recruiting,2
2023-08-02 15:26:40,Hospitals and Health Care,2
2023-08-02 21:00:00,Financial Services,1
2023-08-02 21:00:00,Retail,2
2023-08-02 23:46:40,Hospitals and Health Care,4
2023-08-02 23:46:40,Software Development,6
2023-08-03 05:20:00,Financial Services,1
2023-08-03 22:00:00,Financial Services,2
2023-08-03 22:00:00,Staffing and Recruiting,2
2023-08-04 00:46:40,Software Development,4
2023-08-04 03:33:20,Staffing and Recruiting,2
2023-08-04 20:13:20,Financial Services,1
2023-08-04 20:13:20,Retail,2
2023-08-04 20:13:20,Software Development,1
2023-08-04 23:00:00,Retail,6
2023-08-05 04:33:20,Financial Services,1
2023-08-07 01:00:00,Hospitals and Health Care,2
2023-08-07 01:00:00,IT Services and IT Consulting,3
2023-08-07 01:00:00,Software Development,2
2023-08-07 20:26:40,Hospitals and Health Care,3
2023-08-07 20:26:40,Retail,2
2023-08-07 20:26:40,Staffing and Recruiting,2
2023-08-07 23:13:20,Hospitals and Health Care,2
2023-08-08 04:46:40,Hospitals and Health Care,4
2023-08-08 04:46:40,IT Services and IT Consulting,2
2023-08-08 21:26:40,Hospitals and Health Care,1
2023-08-08 21:26:40,Retail,1
2023-08-09 00:13:20,Hospitals and Health Care,2
2023-08-09 00:13:20,Software Development,2
2023-08-09 05:46:40,Hospitals and Health Care,2
2023-08-09 19:40:00,Retail,9
2023-08-09 22:26:40,Hospitals and Health Care,2
2023-08-09 22:26:40,Staffing and Recruiting,2
2023-08-10 01:13:20,Hospitals and Health Care,2
2023-08-10 01:13:20,IT Services and IT Consulting,1
2023-08-10 01:13:20,Software Development,8
2023-08-10 06:46:40,Hospitals and Health Care,1
2023-08-10 12:20:00,Software Development,2
2023-08-10 15:06:40,Financial Services,2
2023-08-10 15:06:40,Hospitals and Health Care,1
2023-08-10 15:06:40,IT Services and IT Consulting,1
2023-08-10 17:53:20,Financial Services,1
2023-08-10 17:53:20,Hospitals and Health Care,3
2023-08-10 17:53:20,IT Services and IT Consulting,1
2023-08-10 17:53:20,Retail,2
2023-08-10 17:53:20,Software Development,30
2023-08-10 20:40:00,Financial Services,1
2023-08-10 20:40:00,IT Services and IT Consulting,3
2023-08-10 20:40:00,Software Development,1
2023-08-10 20:40:00,Staffing and Recruiting,3
2023-08-10 23:26:40,Financial Services,1
2023-08-10 23:26:40,Hospitals and Health Care,16
2023-08-10 23:26:40,IT Services and IT Consulting,2
2023-08-10 23:26:40,Software Development,12
2023-08-11 16:06:40,Staffing and Recruiting,2
2023-08-11 21:40:00,Hospitals and Health Care,8
2023-08-11 21:40:00,Software Development,3
2023-08-11 21:40:00,Staffing and Recruiting,2
2023-08-12 00:26:40,Retail,1
2023-08-12 00:26:40,Software Development,2
2023-08-12 03:13:20,Hospitals and Health Care,2
2023-08-13 23:40:00,Financial Services,1
2023-08-13 23:40:00,Hospitals and Health Care,3
2023-08-14 02:26:40,Retail,3
2023-08-14 10:46:40,Retail,1
2023-08-14 16:20:00,Hospitals and Health Care,2
2023-08-14 19:06:40,Financial Services,1
2023-08-14 19:06:40,Retail,1
2023-08-15 00:40:00,Hospitals and Health Care,2
2023-08-15 00:40:00,IT Services and IT Consulting,8
2023-08-15 00:40:00,Retail,9
2023-08-15 00:40:00,Software Development,4
2023-08-15 14:33:20,Retail,1
2023-08-15 17:20:00,Staffing and Recruiting,8
2023-08-15 20:06:40,Retail,1
2023-08-15 22:53:20,Hospitals and Health Care,25
2023-08-15 22:53:20,IT Services and IT Consulting,8
2023-08-15 22:53:20,Retail,1
2023-08-15 22:53:20,Software Development,8
2023-08-15 22:53:20,Staffing and Recruiting,1
2023-08-16 21:06:40,IT Services and IT Consulting,2
2023-08-16 23:53:20,Financial Services,1
2023-08-16 23:53:20,Hospitals and Health Care,3
2023-08-16 23:53:20,IT Services and IT Consulting,2
2023-08-16 23:53:20,Software Development,6
2023-08-16 23:53:20,Staffing and Recruiting,2
2023-08-17 05:26:40,Financial Services,1
2023-08-17 05:26:40,IT Services and IT Consulting,2
2023-08-17 13:46:40,Software Development,3
2023-08-17 19:20:00,IT Services and IT Consulting,2
2023-08-17 22:06:40,Software Development,1
2023-08-18 00:53:20,Hospitals and Health Care,4
2023-08-18 00:53:20,IT Services and IT Consulting,2
2023-08-18 00:53:20,Software Development,8
2023-08-18 03:40:00,Hospitals and Health Care,2
2023-08-18 17:33:20,Hospitals and Health Care,8
2023-08-18 23:06:40,Hospitals and Health Care,4
2023-08-18 23:06:40,Retail,1
2023-08-18 23:06:40,Software Development,2
2023-08-18 23:06:40,Staffing and Recruiting,1
2023-08-19 04:40:00,Financial Services,1
2023-08-20 00:06:40,Retail,1
2023-08-20 16:46:40,Retail,2
2023-08-21 01:06:40,Hospitals and Health Care,46
2023-08-21 01:06:40,IT Services and IT Consulting,4
2023-08-21 01:06:40,Retail,35
2023-08-21 01:06:40,Software Development,27
2023-08-21 01:06:40,Staffing and Recruiting,6
2023-08-21 15:00:00,Hospitals and Health Care,1
2023-08-21 17:46:40,Financial Services,1
2023-08-21 17:46:40,Hospitals and Health Care,3
2023-08-21 17:46:40,IT Services and IT Consulting,9
2023-08-21 17:46:40,Retail,1
2023-08-21 17:46:40,Software Development,3
2023-08-21 17:46:40,Staffing and Recruiting,17
2023-08-21 20:33:20,Hospitals and Health Care,2
2023-08-21 20:33:20,Retail,1
2023-08-21 20:33:20,Software Development,1
2023-08-21 20:33:20,Staffing and Recruiting,1
2023-08-21 23:20:00,Financial Services,58
2023-08-21 23:20:00,Hospitals and Health Care,343
2023-08-21 23:20:00,IT Services and IT Consulting,127
2023-08-21 23:20:00,Retail,121
2023-08-21 23:20:00,Software Development,133
2023-08-21 23:20:00,Staffing and Recruiting,70
2023-08-22 04:53:20,Financial Services,17
2023-08-22 04:53:20,Hospitals and Health Care,6
2023-08-22 04:53:20,IT Services and IT Consulting,22
2023-08-22 04:53:20,Retail,38
2023-08-22 04:53:20,Software Development,40
2023-08-22 04:53:20,Staffing and Recruiting,61
2023-08-22 07:40:00,Retail,1
2023-08-22 10:26:40,Staffing and Recruiting,1
2023-08-22 13:13:20,Hospitals and Health Care,1
2023-08-22 16:00:00,Financial Services,2
2023-08-22 16:00:00,Hospitals and Health Care,6
2023-08-22 16:00:00,IT Services and IT Consulting,8
2023-08-22 16:00:00,Retail,5
2023-08-22 16:00:00,Staffing and Recruiting,14
2023-08-22 18:46:40,Financial Services,103
2023-08-22 18:46:40,Hospitals and Health Care,142
2023-08-22 18:46:40,IT Services and IT Consulting,931
2023-08-22 18:46:40,Retail,131
2023-08-22 18:46:40,Software Development,145
2023-08-22 18:46:40,Staffing and Recruiting,1254
2023-08-22 21:33:20,Financial Services,97
2023-08-22 21:33:20,Hospitals and Health Care,592
2023-08-22 21:33:20,IT Services and IT Consulting,640
2023-08-22 21:33:20,Retail,199
2023-08-22 21:33:20,Software Development,250
2023-08-22 21:33:20,Staffing and Recruiting,1025
2023-08-23 00:20:00,Financial Services,69
2023-08-23 00:20:00,Hospitals and Health Care,334
2023-08-23 00:20:00,IT Services and IT Consulting,339
2023-08-23 00:20:00,Retail,120
2023-08-23 00:20:00,Software Development,144
2023-08-23 00:20:00,Staffing and Recruiting,312
2023-08-23 03:06:40,IT Services and IT Consulting,4
2023-08-23 19:46:40,Financial Services,30
2023-08-23 19:46:40,Hospitals and Health Care,107
2023-08-23 19:46:40,IT Services and IT Consulting,119
2023-08-23 19:46:40,Retail,48
2023-08-23 19:46:40,Software Development,10
2023-08-23 19:46:40,Staffing and Recruiting,207
2023-08-23 22:33:20,Financial Services,53
2023-08-23 22:33:20,Hospitals and Health Care,192
2023-08-23 22:33:20,IT Services and IT Consulting,437
2023-08-23 22:33:20,Retail,41
2023-08-23 22:33:20,Software Development,223
2023-08-23 22:33:20,Staffing and Recruiting,391
2023-08-24 01:20:00,Financial Services,13
2023-08-24 01:20:00,Hospitals and Health Care,92
2023-08-24 01:20:00,IT Services and IT Consulting,130
2023-08-24 01:20:00,Retail,24
2023-08-24 01:20:00,Software Development,55
2023-08-24 01:20:00,Staffing and Recruiting,246
2023-08-24 04:06:40,Financial Services,20
2023-08-24 04:06:40,Hospitals and Health Care,117
2023-08-24 04:06:40,IT Services and IT Consulting,43
2023-08-24 04:06:40,Retail,62
2023-08-24 04:06:40,Software Development,68
2023-08-24 04:06:40,Staffing and Recruiting,133
2023-08-24 06:53:20,Financial Services,8
2023-08-24 06:53:20,Hospitals and Health Care,17
2023-08-24 06:53:20,IT Services and IT Consulting,29
2023-08-24 06:53:20,Retail,6
2023-08-24 06:53:20,Software Development,12
2023-08-24 06:53:20,Staffing and Recruiting,19
2023-08-24 09:40:00,Financial Services,8
2023-08-24 09:40:00,Hospitals and Health Care,4
2023-08-24 09:40:00,IT Services and IT Consulting,13
2023-08-24 09:40:00,Retail,10
2023-08-24 09:40:00,Software Development,1
2023-08-24 09:40:00,Staffing and Recruiting,13
2023-08-29 00:46:40,Retail,1
2023-09-25 22:13:20,Hospitals and Health Care,2
2023-09-26 01:00:00,Hospitals and Health Care,1
2023-10-02 23:40:00,Software Development,2
2023-10-04 14:33:20,Retail,1
2023-10-07 14:46:40,Retail,1
2023-10-08 21:20:00,Financial Services,1
2023-10-08 21:20:00,Hospitals and Health Care,29
2023-10-08 21:20:00,IT Services and IT Consulting,2
2023-10-08 21:20:00,Retail,2
2023-10-08 21:20:00,Software Development,5
2023-10-08 21:20:00,Staffing and Recruiting,2
2023-10-09 00:06:40,Financial Services,1
2023-10-09 00:06:40,Hospitals and Health Care,1
2023-10-09 00:06:40,Software Development,3
2023-10-09 16:46:40,Financial Services,1
